981297 function calls (969090 primitive calls) in 0.817 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.001    0.001 decoder.py:1(<module>)
      665    0.001    0.000    0.001    0.000 sre_compile.py:447(_simple)
       28    0.000    0.000    0.001    0.000 typing.py:1323(__class_getitem__)
       70    0.000    0.000    0.001    0.000 typing.py:267(_remove_dups_flatten)
     2795    0.001    0.000    0.001    0.000 sre_parse.py:173(append)
       32    0.000    0.000    0.001    0.000 colors.py:409(to_rgba_array)
     78/4    0.000    0.000    0.001    0.000 pyparsing.py:1835(_parseCache)
        2    0.000    0.000    0.001    0.001 dataclasses.py:1156(dataclass)
 3538/834    0.001    0.000    0.001    0.000 __init__.py:353(recursive_subclasses)
        2    0.000    0.000    0.001    0.001 dataclasses.py:1174(wrap)
        2    0.000    0.000    0.001    0.001 dataclasses.py:881(_process_class)
        1    0.000    0.000    0.001    0.001 extras.py:1(<module>)
     6079    0.001    0.000    0.001    0.000 {method 'group' of 're.Match' objects}
        2    0.000    0.000    0.001    0.001 pyparsing.py:5679(srange)
     2861    0.001    0.000    0.001    0.000 sre_parse.py:161(__len__)
        1    0.000    0.000    0.001    0.001 signal.py:1(<module>)
        3    0.000    0.000    0.001    0.000 _common.py:1(<module>)
      230    0.001    0.000    0.001    0.000 enum.py:986(__and__)
      417    0.001    0.000    0.001    0.000 copy.py:259(_reconstruct)
        1    0.000    0.000    0.001    0.001 tz.py:1(<module>)
        3    0.000    0.000    0.001    0.000 enum.py:536(_convert_)
     2771    0.001    0.000    0.001    0.000 inspect.py:2969(<genexpr>)
        1    0.000    0.000    0.001    0.001 _methods.py:1(<module>)
        1    0.000    0.000    0.001    0.001 units.py:1(<module>)
    38/18    0.000    0.000    0.001    0.000 pyparsing.py:4460(parseImpl)
        1    0.000    0.000    0.001    0.001 __init__.py:445(StrFormatStyle)
      679    0.001    0.000    0.001    0.000 {built-in method builtins.max}
     4117    0.001    0.000    0.001    0.000 {built-in method builtins.setattr}
        1    0.000    0.000    0.001    0.001 getlimits.py:162(_register_known_types)
      160    0.001    0.000    0.001    0.000 shape_base.py:612(column_stack)
        1    0.000    0.000    0.001    0.001 dviread.py:1(<module>)
      282    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1089(path_stats)
      282    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:585(_classify_pyc)
       34    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1587(_fill_cache)
     4798    0.001    0.000    0.001    0.000 artist.py:1563(<genexpr>)
        1    0.000    0.000    0.001    0.001 api.py:1(<module>)
       66    0.000    0.000    0.001    0.000 pyparsing.py:2138(__add__)
       33    0.000    0.000    0.001    0.000 typing.py:1083(copy_with)
       20    0.000    0.000    0.001    0.000 pyparsing.py:4779(parseImpl)
     3099    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:244(_verbose_message)
      846    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
    26/14    0.000    0.000    0.001    0.000 pyparsing.py:4249(parseImpl)
        1    0.000    0.000    0.001    0.001 string.py:1(<module>)
      282    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:618(_validate_timestamp_pyc)
      144    0.001    0.000    0.001    0.000 typing.py:1284(__hash__)
